Date;Start;End;Biomass [MWh] Calculated resolutions;Hydropower [MWh] Calculated resolutions;Wind offshore [MWh] Calculated resolutions;Wind onshore [MWh] Calculated resolutions;Photovoltaics [MWh] Calculated resolutions;Other renewable [MWh] Calculated resolutions;Nuclear [MWh] Calculated resolutions;Lignite [MWh] Calculated resolutions;Hard coal [MWh] Calculated resolutions;Fossil gas [MWh] Calculated resolutions;Hydro pumped storage [MWh] Calculated resolutions;Other conventional [MWh] Calculated resolutions
Jan 1, 2018;12:00 AM;1:00 AM;5,032.75;5,348;2,914.25;29,522.75;0;169;5,853.75;6,723.75;1,862.5;2,489.25;311;1,888
Jan 1, 2018;1:00 AM;2:00 AM;4,998;5,041.25;2,997.75;30,574.75;0;168;4,754;6,810;1,760;2,481.5;628.5;1,924.5
Jan 1, 2018;2:00 AM;3:00 AM;4,992.75;4,968.25;3,093.25;31,204.25;0;167.5;4,591;6,765.75;1,832.75;2,471.75;402.25;1,854.5
Jan 1, 2018;3:00 AM;4:00 AM;4,992.5;4,846;3,134.5;31,814.5;0;166.75;4,888.75;6,728;1,828.5;2,489;50;1,812.25
Jan 1, 2018;4:00 AM;5:00 AM;5,006.75;4,834.5;3,209.5;31,568;0;166;4,696.5;6,709.75;1,826.5;2,489;43;1,858.25
Jan 1, 2018;5:00 AM;6:00 AM;5,002;4,998.5;3,278.5;31,953;0;166;4,830.75;6,727.5;1,830.75;2,475.25;46.25;1,878.5
Jan 1, 2018;6:00 AM;7:00 AM;5,027;5,014.5;3,288.25;31,320.75;0;166.75;4,762.5;6,666.25;1,838;2,441.5;45;1,850.75
Jan 1, 2018;7:00 AM;8:00 AM;5,001.25;5,072.25;3,278.75;30,778.75;8.5;167;4,639;6,579.5;1,827.75;2,411;41.25;1,775.25
Jan 1, 2018;8:00 AM;9:00 AM;5,032.75;5,139.5;3,282;30,403.75;194.5;167;4,616.25;6,506.5;1,657.25;2,388.5;40.5;1,704.25
Jan 1, 2018;9:00 AM;10:00 AM;5,118.75;5,166.25;3,274.25;30,787.75;1,633;166;4,657.25;6,537.25;1,665;2,551.25;43.25;1,687.25
Jan 1, 2018;10:00 AM;11:00 AM;5,148.25;5,230;3,191.5;31,790.5;4,168.5;166;4,857;6,569.75;1,693.25;2,627.5;105;1,686
Jan 1, 2018;11:00 AM;12:00 PM;5,145.5;5,492.25;3,249.75;32,518.75;6,174.25;166;4,826.25;6,594.75;1,713.5;2,638.5;72.25;1,691.5
Jan 1, 2018;12:00 PM;1:00 PM;5,130.75;5,579;3,284.75;32,080.25;6,597.5;166;5,138.5;6,358.25;1,744.25;2,651.25;532.25;1,691.75
Jan 1, 2018;1:00 PM;2:00 PM;5,131;5,541;3,283;30,075.5;5,851.25;166;6,297.75;6,347.25;1,780.25;2,667.75;186.25;1,696.25
Jan 1, 2018;2:00 PM;3:00 PM;5,121;5,511;3,276.75;26,337.25;4,145;166;7,285.5;6,366;1,783;2,699.25;165.5;1,688.5
Jan 1, 2018;3:00 PM;4:00 PM;5,149;5,575.5;4,228;23,034;1,604.25;166.75;7,966;6,896.75;1,957;2,935.5;526.25;1,692
Jan 1, 2018;4:00 PM;5:00 PM;5,166.25;5,785.75;3,997.75;20,170.75;59;174.5;8,594.5;9,120.5;1,937.5;3,241.25;1,550;1,750.5
Jan 1, 2018;5:00 PM;6:00 PM;5,188.5;6,019.25;3,680.75;18,778.75;8;182.75;8,905.25;10,710.25;2,002.75;3,595.25;4,906.75;1,776.75
Jan 1, 2018;6:00 PM;7:00 PM;5,201.25;5,954.25;3,248.75;18,222.25;8;188;9,019.25;11,265.75;2,065.75;3,692.25;5,537.25;1,764.5
Jan 1, 2018;7:00 PM;8:00 PM;5,206.75;5,823.75;3,097.5;17,881.25;0;212.25;9,089;11,755;1,904.75;4,003.75;4,692.5;1,804.25
Jan 1, 2018;8:00 PM;9:00 PM;5,176.75;5,630.75;2,851.75;16,986.75;0;214;9,104.5;12,141;2,137.5;4,138;3,969;1,808
Jan 1, 2018;9:00 PM;10:00 PM;5,160;5,456.5;2,549.75;16,769.25;0;214;9,112;12,551;2,191.75;4,153.5;1,692.25;1,816.5
Jan 1, 2018;10:00 PM;11:00 PM;5,128.75;5,412;2,340.25;16,404.75;0;209.25;9,110.5;13,019.25;2,162.25;4,109.75;961;1,809.25
Jan 1, 2018;11:00 PM;12:00 AM;5,095.5;5,199.75;1,937.75;16,126.75;0;209.25;9,128.5;12,913.5;2,091;4,108;593.5;1,781
Jan 2, 2018;12:00 AM;1:00 AM;5,046.5;4,972.5;1,514.25;15,860.25;0;209;9,026.25;12,440.25;2,068.75;3,856.75;19.25;1,862.75
Jan 2, 2018;1:00 AM;2:00 AM;5,057;4,907.25;1,608.75;15,703.25;0;202.5;9,040.75;11,325.25;2,019.5;3,771.75;22.75;1,871.75
Jan 2, 2018;2:00 AM;3:00 AM;5,052.5;4,898;1,530;15,304.75;0;200.5;9,109.5;10,691.5;2,008.75;3,737.75;26.75;1,846.75
Jan 2, 2018;3:00 AM;4:00 AM;5,053.25;4,885;1,697.5;15,246;0;200;9,178;9,999;1,977.25;3,890.5;23.25;1,824.5
Jan 2, 2018;4:00 AM;5:00 AM;5,052;4,927.25;1,807;15,807.25;0;206.5;9,160.75;11,041.75;2,070;4,202.5;67.75;1,838
Jan 2, 2018;5:00 AM;6:00 AM;5,070.25;5,034.75;1,930.5;16,174;0;209.75;9,187.75;12,318;2,441.5;4,585;102.5;1,842.75
Jan 2, 2018;6:00 AM;7:00 AM;5,084.75;5,351.25;2,160.25;17,027.5;0;226.25;9,198.5;14,388.25;3,039.5;5,295.5;1,209.75;1,916.25
Jan 2, 2018;7:00 AM;8:00 AM;5,173.25;5,691;2,141;17,782.25;8;229.5;9,277.5;15,035.75;3,792;6,122.25;3,381;2,048.25
Jan 2, 2018;8:00 AM;9:00 AM;5,217.25;5,550.75;2,159.5;17,995.5;105.25;231;9,322;15,351.5;4,817;6,299.75;4,980.75;2,071.5
Jan 2, 2018;9:00 AM;10:00 AM;5,222.25;5,643.75;1,936;18,089.5;989;232;9,345.5;15,944.75;5,499.75;6,527.25;5,307.25;2,090.75
Jan 2, 2018;10:00 AM;11:00 AM;5,219.25;5,638.75;1,757;17,666.25;2,367.5;231.75;9,345.25;16,230.5;5,764.25;6,515.5;5,626.75;1,972
Jan 2, 2018;11:00 AM;12:00 PM;5,226.25;5,674;2,265.5;17,693.25;3,377.5;232;9,342.75;16,485.75;5,905.25;6,554.75;4,996.75;2,043
Jan 2, 2018;12:00 PM;1:00 PM;5,211.25;5,489;2,719.25;18,636.25;3,670.5;231.25;9,302.5;16,499;5,806.75;6,539.75;3,707.75;2,096.75
Jan 2, 2018;1:00 PM;2:00 PM;5,212.5;5,542;2,567;17,844.75;3,460;231.25;9,293.25;16,443.25;6,248.75;6,468;3,979;2,107.25
Jan 2, 2018;2:00 PM;3:00 PM;5,210.5;5,657.75;2,283.75;16,213.75;2,551.5;231;9,297.75;16,325.25;6,732;6,446.75;4,327.5;2,097.5
Jan 2, 2018;3:00 PM;4:00 PM;5,226;5,727.75;2,534.75;15,483.5;948.25;231;9,291.25;16,326;7,054.75;6,491.75;4,309;2,085.5
Jan 2, 2018;4:00 PM;5:00 PM;5,255.5;5,795.25;2,989.75;15,653.5;63;231;9,222;16,380.75;6,873;6,552.25;4,417.75;2,089
Jan 2, 2018;5:00 PM;6:00 PM;5,252.25;5,924.25;3,181;16,702.5;8;231;9,292;16,576.25;7,060.75;6,573.25;6,068.5;2,093.75
Jan 2, 2018;6:00 PM;7:00 PM;5,236.25;5,857.25;3,666.5;17,979;8;231.75;9,212.25;16,544.25;6,806.75;6,662.5;2,996;2,098.75
Jan 2, 2018;7:00 PM;8:00 PM;5,202.75;5,715.5;4,096.75;19,545;0;232.5;9,062.5;16,515.75;5,692.75;6,473.25;2,463.25;2,095.5
Jan 2, 2018;8:00 PM;9:00 PM;5,194.75;5,532.5;4,206.25;21,102.75;0;232;9,103.5;16,107.5;3,945.25;5,927.5;1,778;2,087.25
Jan 2, 2018;9:00 PM;10:00 PM;5,180;5,390.25;4,209.25;22,580.75;0;230.25;9,186.75;15,048.75;2,988.5;5,391.75;968.75;2,072.75
Jan 2, 2018;10:00 PM;11:00 PM;5,149.25;5,249.75;4,253;24,086.5;0;229;9,183.25;12,452.75;2,805.5;4,901.25;1,672;1,889
Jan 2, 2018;11:00 PM;12:00 AM;5,136.5;5,028.5;4,283;26,046.75;0;220.25;8,857.25;9,757.25;2,669.25;4,519.5;738.25;1,969.25
Jan 3, 2018;12:00 AM;1:00 AM;5,084.25;5,052;4,301.25;27,575;0;203.75;7,981.25;8,500;2,494.25;3,668;298;1,892.25
Jan 3, 2018;1:00 AM;2:00 AM;5,087.75;4,948.25;4,372.5;28,954;0;186;6,432;7,824.25;2,442;3,359;42;1,923.75
Jan 3, 2018;2:00 AM;3:00 AM;5,080;4,992;4,401.5;30,134;0;185;5,925.75;7,728.5;2,403.75;3,344;33.75;1,963.5
Jan 3, 2018;3:00 AM;4:00 AM;5,063.5;4,993.5;4,415;32,300;0;184;5,595.25;7,577.5;2,384;3,337.75;38.25;1,932.25
Jan 3, 2018;4:00 AM;5:00 AM;5,043.75;4,942.5;4,436;34,132;0;184;5,605.5;7,575.75;2,399;3,290.5;31.75;1,834.5
Jan 3, 2018;5:00 AM;6:00 AM;5,069;5,078;4,231.5;34,871.25;0;183;6,165.75;7,652.75;2,578.5;3,293.5;340.5;1,829.75
