#General information: Fraunhofer ISE  reserves the right not to be responsible for the topicality, correctness, completeness or quality of the information provided. Liability claims regarding damage caused by the use of any information provided, including any kind of information which is incomplete or incorrect,will therefore be rejected.
#file_info: --- Simulated load profile with synPRO --- number of occupants: 2 --- socioeconomic factor: MFHkl --- climate region: TRY2010_6_Jahr.dat --- total domestic hot water energy demand: 7116 ---  Building TypeMFH_2 ---  --- For more information contact our synPRO team oc-synpro@ise.fraunhofer.de
#timestep_sec: 900
#col_no;col_name;unit;category;comment
#001;YYYYMMDD;0;time;Date [human readable]
#002;hhmmss;0;time;Time [human readable]
#003;unixtimestamp;s;time;Elapsed seconds from 01-01-1970
#004;Q_dhw;W;power;heating demand for water heating 
#simulated building;MFH_2
#climate region;TRY2010_6_Jahr.dat
#number of houses;1
#number of apartments;4
#number of occupants per apartment;2
#working pattern;MFHkl
#total number of occupants;8
#specific DHW demand per person;1779;kWh/p
YYYYMMDD;hhmmss;unixtimestamp;Q_dhw
20210101;000000;1609455600;372.118145741498
20210101;001500;1609456500;372.12480893663
20210101;003000;1609457400;3255.50991129876
20210101;004500;1609458300;2626.90462831934
20210101;010000;1609459200;372.12480893663
20210101;011500;1609460100;372.12480893663
20210101;013000;1609461000;372.12480893663
20210101;014500;1609461900;372.12480893663
20210101;020000;1609462800;372.12480893663
20210101;021500;1609463700;372.12480893663
20210101;023000;1609464600;372.12480893663
20210101;024500;1609465500;372.12480893663
20210101;030000;1609466400;372.12480893663
20210101;031500;1609467300;372.12480893663
20210101;033000;1609468200;372.12480893663
20210101;034500;1609469100;372.12480893663
20210101;040000;1609470000;372.12480893663
20210101;041500;1609470900;372.12480893663
20210101;043000;1609471800;372.12480893663
20210101;044500;1609472700;372.12480893663
20210101;050000;1609473600;372.12480893663
20210101;051500;1609474500;372.12480893663
20210101;053000;1609475400;372.12480893663
20210101;054500;1609476300;372.12480893663
20210101;060000;1609477200;372.12480893663
20210101;061500;1609478100;372.12480893663
20210101;063000;1609479000;372.12480893663
20210101;064500;1609479900;372.12480893663
20210101;070000;1609480800;542.182276795798
20210101;071500;1609481700;372.12480893663
20210101;073000;1609482600;372.12480893663
20210101;074500;1609483500;463.227023861184
20210101;080000;1609484400;542.182276795798
20210101;081500;1609485300;372.12480893663
20210101;083000;1609486200;372.12480893663
20210101;084500;1609487100;1006.80357291102
20210101;090000;1609488000;2030.18512056351
20210101;091500;1609488900;3560.70233129602
20210101;093000;1609489800;4259.1526457176
20210101;094500;1609490700;372.12480893663
20210101;100000;1609491600;372.12480893663
20210101;101500;1609492500;372.12480893663
20210101;103000;1609493400;372.12480893663
20210101;104500;1609494300;372.12480893663
20210101;110000;1609495200;372.12480893663
20210101;111500;1609496100;3925.11119099423
20210101;113000;1609497000;489.798503214179
20210101;114500;1609497900;372.12480893663
20210101;120000;1609498800;372.12480893663
20210101;121500;1609499700;797.268478584549
20210101;123000;1609500600;372.12480893663
20210101;124500;1609501500;607.472197491728
20210101;130000;1609502400;8138.58863125486
20210101;131500;1609503300;372.12480893663
20210101;133000;1609504200;372.12480893663
