#General information: Fraunhofer ISE  reserves the right not to be responsible for the topicality, correctness, completeness or quality of the information provided. Liability claims regarding damage caused by the use of any information provided, including any kind of information which is incomplete or incorrect,will therefore be rejected.
#file_info: --- Simulated load profile with synPRO --- sum profile for the simulated household group --- Number of households: 1 ---  --- For more information contact our synPRO team oc-synpro@ise.fraunhofer.de
#timestep_sec: 900
#col_no;col_name;unit;category;comment
#001;YYYYMMDD;0;time;Date [human readable]
#002;hhmmss;0;time;Time [human readable]
#003;unixtimestamp;s;time;Elapsed seconds from 01-01-1970
#004;P_el;W;load_el;Sum of synthetic load profile for all electrical demand of the simulated activities
YYYYMMDD;hhmmss;unixtimestamp;P_el
20210101;000000;1609455600;121.605
20210101;001500;1609456500;113.381
20210101;003000;1609457400;226.947
20210101;004500;1609458300;300.931
20210101;010000;1609459200;223.958
20210101;011500;1609460100;113.293
20210101;013000;1609461000;128.544
20210101;014500;1609461900;374.685
20210101;020000;1609462800;125.743
20210101;021500;1609463700;127.688
20210101;023000;1609464600;125.567
20210101;024500;1609465500;287.522
20210101;030000;1609466400;224.929
20210101;031500;1609467300;125.704
20210101;033000;1609468200;125.57
20210101;034500;1609469100;260.21
20210101;040000;1609470000;244.655
20210101;041500;1609470900;125.593
20210101;043000;1609471800;125.576
20210101;044500;1609472700;190.112
20210101;050000;1609473600;272.61
20210101;051500;1609474500;168.164
20210101;053000;1609475400;125.591
20210101;054500;1609476300;129.053
20210101;060000;1609477200;264.336
20210101;061500;1609478100;237.3
20210101;063000;1609479000;125.668
20210101;064500;1609479900;125.655
20210101;070000;1609480800;230.368
20210101;071500;1609481700;269.862
20210101;073000;1609482600;125.541
20210101;074500;1609483500;125.573
20210101;080000;1609484400;159.424
20210101;081500;1609485300;336.139
20210101;083000;1609486200;130.233
20210101;084500;1609487100;125.503
20210101;090000;1609488000;191.998
20210101;091500;1609488900;301.8
20210101;093000;1609489800;125.518
20210101;094500;1609490700;125.491
20210101;100000;1609491600;148.613
20210101;101500;1609492500;324.112
20210101;103000;1609493400;155.579
20210101;104500;1609494300;125.196
20210101;110000;1609495200;125.064
20210101;111500;1609496100;277.913
20210101;113000;1609497000;1206.049
20210101;114500;1609497900;1417.645
20210101;120000;1609498800;1118.177
20210101;121500;1609499700;959.406
20210101;123000;1609500600;1012.292
20210101;124500;1609501500;129.997
20210101;130000;1609502400;262.138
20210101;131500;1609503300;125.094
20210101;133000;1609504200;261.398
20210101;134500;1609505100;1855.227
20210101;140000;1609506000;1283.438
20210101;141500;1609506900;445.05
20210101;143000;1609507800;464.617
20210101;144500;1609508700;795.494
20210101;150000;1609509600;2651.701
20210101;151500;1609510500;347.5
20210101;153000;1609511400;336.225
20210101;154500;1609512300;452.032
20210101;160000;1609513200;437.814
20210101;161500;1609514100;392.513
20210101;163000;1609515000;348.53
20210101;164500;1609515900;430.867
20210101;170000;1609516800;408.128
20210101;171500;1609517700;391.755
20210101;173000;1609518600;124.501
20210101;174500;1609519500;154.012
20210101;180000;1609520400;228.617
20210101;181500;1609521300;370.065
20210101;183000;1609522200;279.272
20210101;184500;1609523100;244.596
20210101;190000;1609524000;343.985
20210101;191500;1609524900;280.434
20210101;193000;1609525800;371.957
20210101;194500;1609526700;244.386
20210101;200000;1609527600;297.419
20210101;201500;1609528500;281.541
20210101;203000;1609529400;392.005
20210101;204500;1609530300;255.285
20210101;210000;1609531200;265.043
20210101;211500;1609532100;326.58
20210101;213000;1609533000;311.011
20210101;214500;1609533900;380.819
20210101;220000;1609534800;194.228
20210101;221500;1609535700;124.52
20210101;223000;1609536600;124.448
20210101;224500;1609537500;283.171
20210101;230000;1609538400;233.702
20210101;231500;1609539300;124.277
20210101;233000;1609540200;124.643
20210101;234500;1609541100;226.756
20210102;000000;1609542000;289.287
20210102;001500;1609542900;151.491
20210102;003000;1609543800;244.448
20210102;004500;1609544700;226.347
20210102;010000;1609545600;189.382
20210102;011500;1609546500;227.631
20210102;013000;1609547400;124.364
20210102;014500;1609548300;219.83
20210102;020000;1609549200;160.81
20210102;021500;1609550100;245.345
20210102;023000;1609551000;124.463
20210102;024500;1609551900;186.533
20210102;030000;1609552800;158.679
20210102;031500;1609553700;238.228
20210102;033000;1609554600;168.451
20210102;034500;1609555500;140.476
20210102;040000;1609556400;204.052
20210102;041500;1609557300;170.299
20210102;043000;1609558200;237.683
20210102;044500;1609559100;124.184
20210102;050000;1609560000;218.36
20210102;051500;1609560900;134.964
20210102;053000;1609561800;270.476
20210102;054500;1609562700;157.555
20210102;060000;1609563600;292.695
20210102;061500;1609564500;287.68
20210102;063000;1609565400;334.04
20210102;064500;1609566300;130.503
20210102;070000;1609567200;124.042
20210102;071500;1609568100;284.577
20210102;073000;1609569000;200.875
20210102;074500;1609569900;123.999
20210102;080000;1609570800;123.726
20210102;081500;1609571700;211.219
20210102;083000;1609572600;290.298
20210102;084500;1609573500;123.7
20210102;090000;1609574400;123.664
20210102;091500;1609575300;144.046
20210102;093000;1609576200;326.88
20210102;094500;1609577100;153.65
20210102;100000;1609578000;123.656
