#General information: Fraunhofer ISE  reserves the right not to be responsible for the topicality, correctness, completeness or quality of the information provided. Liability claims regarding damage caused by the use of any information provided, including any kind of information which is incomplete or incorrect,will therefore be rejected.
#file_info: --- Simulated load profile with synPRO --- sum profile for the simulated household group --- Number of households: 1 ---  --- For more information contact our synPRO team oc-synpro@ise.fraunhofer.de
#timestep_sec: 900
#col_no;col_name;unit;category;comment
#001;YYYYMMDD;0;time;Date [human readable]
#002;hhmmss;0;time;Time [human readable]
#003;unixtimestamp;s;time;Elapsed seconds from 01-01-1970
#004;P_el;W;load_el;Sum of synthetic load profile for all electrical demand of the simulated activities
YYYYMMDD;hhmmss;unixtimestamp;P_el
20210101;000000;1609455600;280.664
20210101;001500;1609456500;364.693
20210101;003000;1609457400;115.949
20210101;004500;1609458300;115.989
20210101;010000;1609459200;116.103
20210101;011500;1609460100;276.126
20210101;013000;1609461000;220.961
20210101;014500;1609461900;116.233
20210101;020000;1609462800;116.399
20210101;021500;1609463700;190.079
20210101;023000;1609464600;299.915
20210101;024500;1609465500;116.35
20210101;030000;1609466400;116.27
20210101;031500;1609467300;116.157
20210101;033000;1609468200;353.424
20210101;034500;1609469100;136.597
20210101;040000;1609470000;116.371
20210101;041500;1609470900;116.409
20210101;043000;1609471800;229.898
20210101;044500;1609472700;252.593
20210101;050000;1609473600;116.38
20210101;051500;1609474500;116.386
20210101;053000;1609475400;163.685
20210101;054500;1609476300;328.565
20210101;060000;1609477200;117.926
20210101;061500;1609478100;138.028
20210101;063000;1609479000;236.077
20210101;064500;1609479900;243.072
20210101;070000;1609480800;157.631
20210101;071500;1609481700;259.621
20210101;073000;1609482600;393.769
20210101;074500;1609483500;161.554
20210101;080000;1609484400;116.555
20210101;081500;1609485300;351.595
20210101;083000;1609486200;438.499
20210101;084500;1609487100;444.161
20210101;090000;1609488000;373.671
20210101;091500;1609488900;491.39
20210101;093000;1609489800;385.51
20210101;094500;1609490700;1231.777
20210101;100000;1609491600;484.538
20210101;101500;1609492500;309.741
20210101;103000;1609493400;322.627
20210101;104500;1609494300;494.727
20210101;110000;1609495200;431.122
20210101;111500;1609496100;493.979
20210101;113000;1609497000;630.169
20210101;114500;1609497900;1600.723
20210101;120000;1609498800;437.976
20210101;121500;1609499700;461.713
20210101;123000;1609500600;310.06
20210101;124500;1609501500;2778.283
20210101;130000;1609502400;3546.022
20210101;131500;1609503300;3541.674
20210101;133000;1609504200;704.551
20210101;134500;1609505100;545.205
20210101;140000;1609506000;511.913
20210101;141500;1609506900;487.798
20210101;143000;1609507800;639.301
20210101;144500;1609508700;578.005
20210101;150000;1609509600;511.434
20210101;151500;1609510500;560.59
20210101;153000;1609511400;556.48
20210101;154500;1609512300;623.791
20210101;160000;1609513200;274.144
20210101;161500;1609514100;385.978
20210101;163000;1609515000;2086.165
20210101;164500;1609515900;1560.347
