#General information: Fraunhofer ISE  reserves the right not to be responsible for the topicality, correctness, completeness or quality of the information provided. Liability claims regarding damage caused by the use of any information provided, including any kind of information which is incomplete or incorrect,will therefore be rejected.
#file_info: --- Simulated load profile with synPRO --- sum profile for the simulated household group --- Number of households: 1 ---  --- For more information contact our synPRO team oc-synpro@ise.fraunhofer.de
#timestep_sec: 900
#col_no;col_name;unit;category;comment
#001;YYYYMMDD;0;time;Date [human readable]
#002;hhmmss;0;time;Time [human readable]
#003;unixtimestamp;s;time;Elapsed seconds from 01-01-1970
#004;P_el;W;load_el;Sum of synthetic load profile for all electrical demand of the simulated activities
YYYYMMDD;hhmmss;unixtimestamp;P_el
20210101;000000;1609455600;391.93
20210101;001500;1609456500;287.969
20210101;003000;1609457400;313.77
20210101;004500;1609458300;343.733
20210101;010000;1609459200;197.872
20210101;011500;1609460100;168.265
20210101;013000;1609461000;318.851
20210101;014500;1609461900;314.514
20210101;020000;1609462800;168.566
20210101;021500;1609463700;168.535
20210101;023000;1609464600;304.736
20210101;024500;1609465500;343.258
20210101;030000;1609466400;168.507
20210101;031500;1609467300;168.473
20210101;033000;1609468200;274.198
20210101;034500;1609469100;312.957
20210101;040000;1609470000;220.992
20210101;041500;1609470900;168.417
20210101;043000;1609471800;212.373
20210101;044500;1609472700;329.834
20210101;050000;1609473600;280.129
20210101;051500;1609474500;170.562
20210101;053000;1609475400;222.832
20210101;054500;1609476300;427.568
20210101;060000;1609477200;193.396
20210101;061500;1609478100;168.598
20210101;063000;1609479000;225.037
20210101;064500;1609479900;321.693
20210101;070000;1609480800;279.604
20210101;071500;1609481700;266.555
20210101;073000;1609482600;1122.954
20210101;074500;1609483500;514.254
20210101;080000;1609484400;438.872
20210101;081500;1609485300;329.563
20210101;083000;1609486200;489.858
20210101;084500;1609487100;1124.808
20210101;090000;1609488000;703.932
20210101;091500;1609488900;370.382
20210101;093000;1609489800;488.04
20210101;094500;1609490700;1639.05
20210101;100000;1609491600;590.447
20210101;101500;1609492500;804.107
20210101;103000;1609493400;596.883
20210101;104500;1609494300;546.133
20210101;110000;1609495200;471.182
20210101;111500;1609496100;516.111
20210101;113000;1609497000;592.613
20210101;114500;1609497900;525.752
20210101;120000;1609498800;415.947
20210101;121500;1609499700;395.008
20210101;123000;1609500600;503.624
20210101;124500;1609501500;485.571
20210101;130000;1609502400;633.8
20210101;131500;1609503300;1107.376
20210101;133000;1609504200;1724.477
20210101;134500;1609505100;1611.787
20210101;140000;1609506000;793.737
20210101;141500;1609506900;495.528
