#General information: Fraunhofer ISE  reserves the right not to be responsible for the topicality, correctness, completeness or quality of the information provided. Liability claims regarding damage caused by the use of any information provided, including any kind of information which is incomplete or incorrect,will therefore be rejected.
#file_info: --- Simulated load profile with synPRO --- sum profile for the simulated household group --- Number of households: 1 ---  --- For more information contact our synPRO team oc-synpro@ise.fraunhofer.de
#timestep_sec: 900
#col_no;col_name;unit;category;comment
#001;YYYYMMDD;0;time;Date [human readable]
#002;hhmmss;0;time;Time [human readable]
#003;unixtimestamp;s;time;Elapsed seconds from 01-01-1970
#004;P_el;W;load_el;Sum of synthetic load profile for all electrical demand of the simulated activities
YYYYMMDD;hhmmss;unixtimestamp;P_el
20210101;000000;1609455600;91.57
20210101;001500;1609456500;69.614
20210101;003000;1609457400;69.614
20210101;004500;1609458300;154.902
20210101;010000;1609459200;145.685
20210101;011500;1609460100;69.706
20210101;013000;1609461000;69.706
20210101;014500;1609461900;72.385
20210101;020000;1609462800;227.431
20210101;021500;1609463700;69.997
20210101;023000;1609464600;69.77
20210101;024500;1609465500;69.77
20210101;030000;1609466400;143.503
20210101;031500;1609467300;159.92
20210101;033000;1609468200;69.792
20210101;034500;1609469100;69.757
20210101;040000;1609470000;99.783
20210101;041500;1609470900;198.253
20210101;043000;1609471800;69.757
20210101;044500;1609472700;69.757
20210101;050000;1609473600;69.757
20210101;051500;1609474500;170.544
20210101;053000;1609475400;134.976
20210101;054500;1609476300;69.762
20210101;060000;1609477200;69.757
20210101;061500;1609478100;69.757
20210101;063000;1609479000;217.295
20210101;064500;1609479900;88.901
20210101;070000;1609480800;69.744
20210101;071500;1609481700;69.744
20210101;073000;1609482600;118.174
20210101;074500;1609483500;188.741
20210101;080000;1609484400;69.732
20210101;081500;1609485300;69.732
20210101;083000;1609486200;69.732
20210101;084500;1609487100;170.602
20210101;090000;1609488000;135.309
20210101;091500;1609488900;69.735
20210101;093000;1609489800;69.732
20210101;094500;1609490700;143.465
20210101;100000;1609491600;155.136
20210101;101500;1609492500;80.542
20210101;103000;1609493400;80.371
20210101;104500;1609494300;81.397
20210101;110000;1609495200;311.775
20210101;111500;1609496100;147.215
20210101;113000;1609497000;122.044
20210101;114500;1609497900;107.044
20210101;120000;1609498800;174.832
20210101;121500;1609499700;154.227
20210101;123000;1609500600;69.574
20210101;124500;1609501500;69.574
20210101;130000;1609502400;122.745
20210101;131500;1609503300;176.081
20210101;133000;1609504200;74.657
20210101;134500;1609505100;84.657
20210101;140000;1609506000;125.222
20210101;141500;1609506900;205.249
20210101;143000;1609507800;69.533
20210101;144500;1609508700;69.533
20210101;150000;1609509600;169.396
20210101;151500;1609510500;111.628
20210101;153000;1609511400;69.478
20210101;154500;1609512300;69.478
20210101;160000;1609513200;129.689
20210101;161500;1609514100;162.625
20210101;163000;1609515000;69.451
20210101;164500;1609515900;69.451
20210101;170000;1609516800;321.426
20210101;171500;1609517700;594.111
20210101;173000;1609518600;301.628
20210101;174500;1609519500;407.398
20210101;180000;1609520400;506.798
20210101;181500;1609521300;517.447
20210101;183000;1609522200;429.461
20210101;184500;1609523100;231.659
20210101;190000;1609524000;319.559
20210101;191500;1609524900;417.481
20210101;193000;1609525800;708.046
20210101;194500;1609526700;740.574
20210101;200000;1609527600;770.396
20210101;201500;1609528500;658.283
20210101;203000;1609529400;656.405
20210101;204500;1609530300;687.458
20210101;210000;1609531200;768.357
20210101;211500;1609532100;649.366
20210101;213000;1609533000;658.476
20210101;214500;1609533900;640.296
20210101;220000;1609534800;785.304
20210101;221500;1609535700;655.372
20210101;223000;1609536600;489.027
20210101;224500;1609537500;509.033
20210101;230000;1609538400;589.333
20210101;231500;1609539300;566.442
20210101;233000;1609540200;508.69
20210101;234500;1609541100;505.947
20210102;000000;1609542000;489.565
20210102;001500;1609542900;666.715
20210102;003000;1609543800;507.589
20210102;004500;1609544700;489.144
20210102;010000;1609545600;508.756
20210102;011500;1609546500;577.753
20210102;013000;1609547400;580.925
20210102;014500;1609548300;508.922
20210102;020000;1609549200;505.875
20210102;021500;1609550100;517.157
20210102;023000;1609551000;638.557
20210102;024500;1609551900;506.287
20210102;030000;1609552800;491.705
20210102;031500;1609553700;504.998
20210102;033000;1609554600;605.56
20210102;034500;1609555500;558.425
20210102;040000;1609556400;504.847
20210102;041500;1609557300;506.545
20210102;043000;1609558200;491.152
20210102;044500;1609559100;650.813
20210102;050000;1609560000;527.859
20210102;051500;1609560900;491.04
20210102;053000;1609561800;504.646
20210102;054500;1609562700;554.195
20210102;060000;1609563600;611.982
20210102;061500;1609564500;504.019
20210102;063000;1609565400;508.108
20210102;064500;1609566300;491.182
20210102;070000;1609567200;602.549
20210102;071500;1609568100;575.683
20210102;073000;1609569000;491.417
20210102;074500;1609569900;502.617
20210102;080000;1609570800;580.508
20210102;081500;1609571700;577.451
20210102;083000;1609572600;501.743
20210102;084500;1609573500;509.102
20210102;090000;1609574400;492.024
20210102;091500;1609575300;648.105
20210102;093000;1609576200;520.934
20210102;094500;1609577100;492.289
20210102;100000;1609578000;499.971
20210102;101500;1609578900;456.214
20210102;103000;1609579800;188.606
20210102;104500;1609580700;68.877
20210102;110000;1609581600;68.86
