#General information: Fraunhofer ISE  reserves the right not to be responsible for the topicality, correctness, completeness or quality of the information provided. Liability claims regarding damage caused by the use of any information provided, including any kind of information which is incomplete or incorrect,will therefore be rejected.;;;;
#file_info: --- Simulated load profile with synPRO --- number of occupants: 2 --- socioeconomic factor: MFHkl --- climate region: TRY2010_6_Jahr.dat --- total energy demand: 209.394846925184 ---  Building TypeMFH_2 ---  --- For more information contact our synPRO team oc-synpro@ise.fraunhofer.de;;;;
#timestep_sec: 900;;;;
#col_no;col_name;unit;category;comment
#001;YYYYMMDD;0;time;Date [human readable]
#002;hhmmss;0;time;Time [human readable]
#003;unixtimestamp;s;time;Elapsed seconds from 01-01-1970
#004;Q_htg;W;power;heating demand for space heating
#005;t_room;°C;temperature;room temperature
#006;t_amb;°C;temperature;ambient temperature
#007;heating_on;-;-;value, which provides under-use of the heating temperature limit and the average outdoor temperature, the starting and shutdown signal for the heating system
#008;P_pvn;W/Wp;specific power;specific power of an PV-plant, which has an optimal slope and oriented to south
#simulated building;MFH_2;;;
#set point temperature heating day [°C];21;;;
#set point temperature heating night [°C];17;;;
#set point temperature cooling [°C];26;;;
#orientation of the building [°];0;;;
#climate region;TRY2010_6_Jahr.dat;;;
#number of houses;1;;;
#number of apartments;4;;;
#number of occupants;9;;;
#working pattern;MFHkl;;;
#specific heating load;151;kWh/m²;;
YYYYMMDD;hhmmss;unixtimestamp;Q_htg;
20210101;0;1609455600;5508.74469892075;
20210101;1500;1609456500;6067.18596343575;
20210101;3000;1609457400;6625.62722795075;
20210101;4500;1609458300;7184.06849246575;
20210101;10000;1609459200;7742.50975698075;
20210101;11500;1609460100;8086.40089732741;
20210101;13000;1609461000;8430.29203767408;
20210101;14500;1609461900;8774.18317802074;
20210101;20000;1609462800;9118.07431836741;
20210101;21500;1609463700;9349.51856801864;
20210101;23000;1609464600;9580.96281766986;
20210101;24500;1609465500;9812.40706732109;
20210101;30000;1609466400;10043.8513169723;
20210101;31500;1609467300;10203.9451166469;
20210101;33000;1609468200;10364.0389163215;
20210101;34500;1609469100;10524.1327159961;
20210101;40000;1609470000;10684.2265156707;
20210101;41500;1609470900;10782.7374601914;
20210101;43000;1609471800;10881.2484047122;
20210101;44500;1609472700;10979.759349233;
20210101;50000;1609473600;11078.2702937537;
20210101;51500;1609474500;11162.0311578695;
20210101;53000;1609475400;11245.7920219853;
20210101;54500;1609476300;11329.5528861011;
20210101;60000;1609477200;11413.3137502168;
20210101;61500;1609478100;14181.7157335842;
20210101;63000;1609479000;16950.1177169516;
20210101;64500;1609479900;19718.519700319;
20210101;70000;1609480800;22486.9216836864;
20210101;71500;1609481700;21782.0809053285;
20210101;73000;1609482600;21077.2401269706;
20210101;74500;1609483500;20372.3993486127;
20210101;80000;1609484400;19667.5585702548;
20210101;81500;1609485300;19203.5806616593;
20210101;83000;1609486200;18739.6027530638;
20210101;84500;1609487100;18275.6248444683;
20210101;90000;1609488000;17811.6469358728;
20210101;91500;1609488900;17422.2109451125;
20210101;93000;1609489800;17032.7749543523;
20210101;94500;1609490700;16643.3389635921;
20210101;100000;1609491600;16253.9029728319;
20210101;101500;1609492500;15941.3859298317;
20210101;103000;1609493400;15628.8688868314;
20210101;104500;1609494300;15316.3518438312;
20210101;110000;1609495200;15003.8348008309;
20210101;111500;1609496100;14749.8309924854;
20210101;113000;1609497000;14495.8271841399;
20210101;114500;1609497900;14241.8233757944;
20210101;120000;1609498800;13987.8195674489;
20210101;121500;1609499700;13917.320582476;
20210101;123000;1609500600;13846.821597503;
20210101;124500;1609501500;13776.3226125301;
20210101;130000;1609502400;13705.8236275571;
20210101;131500;1609503300;13637.7137771654;
20210101;133000;1609504200;13569.6039267738;
20210101;134500;1609505100;13501.4940763821;
20210101;140000;1609506000;13433.3842259904;
20210101;141500;1609506900;13399.8919453708;
20210101;143000;1609507800;13366.3996647512;
20210101;144500;1609508700;13332.9073841316;
20210101;150000;1609509600;13299.415103512;
20210101;151500;1609510500;13200.7879923476;
20210101;153000;1609511400;13102.1608811832;
20210101;154500;1609512300;13003.5337700189;
20210101;160000;1609513200;12904.9066588545;
20210101;161500;1609514100;12818.0165642452;
20210101;163000;1609515000;12731.126469636;
20210101;164500;1609515900;12644.2363750268;
20210101;170000;1609516800;12557.3462804175;
20210101;171500;1609517700;12503.9921989973;
20210101;173000;1609518600;12450.6381175771;
20210101;174500;1609519500;12397.2840361569;
20210101;180000;1609520400;12343.9299547367;
20210101;181500;1609521300;12159.2573483195;
20210101;183000;1609522200;11974.5847419023;
20210101;184500;1609523100;11789.912135485;
20210101;190000;1609524000;11605.2395290678;
20210101;191500;1609524900;11584.0126971926;
20210101;193000;1609525800;11562.7858653173;
20210101;194500;1609526700;11541.5590334421;
20210101;200000;1609527600;11520.3322015668;
20210101;201500;1609528500;11526.5395533261;
20210101;203000;1609529400;11532.7469050853;
20210101;204500;1609530300;11538.9542568446;
20210101;210000;1609531200;11545.1616086039;
20210101;211500;1609532100;11505.1776345184;
20210101;213000;1609533000;11465.1936604329;
20210101;214500;1609533900;11425.2096863474;
20210101;220000;1609534800;11385.2257122619;
20210101;221500;1609535700;8614.92905323944;
20210101;223000;1609536600;5844.632394217;
20210101;224500;1609537500;3074.33573519457;
20210101;230000;1609538400;304.03907617213;
20210101;231500;1609539300;1013.37016841709;
20210101;233000;1609540200;1722.70126066204;
20210101;234500;1609541100;2432.032352907;
20210102;0;1609542000;3141.36344515196;
20210102;1500;1609542900;3702.49008607486;
20210102;3000;1609543800;4263.61672699776;
20210102;4500;1609544700;4824.74336792067;
20210102;10000;1609545600;5385.87000884357;
20210102;11500;1609546500;5692.44213995093;
20210102;13000;1609547400;5999.01427105828;
20210102;14500;1609548300;6305.58640216564;
20210102;20000;1609549200;6612.15853327299;
20210102;21500;1609550100;6797.8940573473;
20210102;23000;1609551000;6983.62958142161;
20210102;24500;1609551900;7169.36510549592;
20210102;30000;1609552800;7355.10062957023;
20210102;31500;1609553700;7489.4582370784;
20210102;33000;1609554600;7623.81584458656;
20210102;34500;1609555500;7758.17345209473;
20210102;40000;1609556400;7892.5310596029;
20210102;41500;1609557300;7974.88201215304;
20210102;43000;1609558200;8057.23296470317;
20210102;44500;1609559100;8139.58391725331;
20210102;50000;1609560000;8221.93486980345;
20210102;51500;1609560900;8239.87925715741;
20210102;53000;1609561800;8257.82364451137;
20210102;54500;1609562700;8275.76803186533;
20210102;60000;1609563600;8293.71241921928;
20210102;61500;1609564500;11018.421314092;
20210102;63000;1609565400;13743.1302089647;
20210102;64500;1609566300;16467.8391038374;
20210102;70000;1609567200;19192.5479987101;
20210102;71500;1609568100;18379.6272293268;
20210102;73000;1609569000;17566.7064599434;
20210102;74500;1609569900;16753.7856905601;
20210102;80000;1609570800;15940.8649211768;
20210102;81500;1609571700;15511.5574207088;
20210102;83000;1609572600;15082.2499202408;
20210102;84500;1609573500;14652.9424197728;
20210102;90000;1609574400;14223.6349193049;
20210102;91500;1609575300;13927.1088379397;
20210102;93000;1609576200;13630.5827565745;
20210102;94500;1609577100;13334.0566752092;
20210102;100000;1609578000;13037.530593844;
20210102;101500;1609578900;12805.5229096342;
20210102;103000;1609579800;12573.5152254243;
20210102;104500;1609580700;12341.5075412144;
20210102;110000;1609581600;12109.4998570046;
20210102;111500;1609582500;11933.6036493707;
20210102;113000;1609583400;11757.7074417369;
20210102;114500;1609584300;11581.811234103;
20210102;120000;1609585200;11405.9150264692;
20210102;121500;1609586100;11174.1668802997;
20210102;123000;1609587000;10942.4187341303;
20210102;124500;1609587900;10710.6705879608;
20210102;130000;1609588800;10478.9224417914;
20210102;131500;1609589700;10322.9220237448;
20210102;133000;1609590600;10166.9216056982;
20210102;134500;1609591500;10010.9211876515;
20210102;140000;1609592400;9854.92076960492;
20210102;141500;1609593300;9718.16575788914;
20210102;143000;1609594200;9581.41074617335;
20210102;144500;1609595100;9444.65573445756;
20210102;150000;1609596000;9307.90072274178;
20210102;151500;1609596900;9227.71903426431;
20210102;153000;1609597800;9147.53734578685;
20210102;154500;1609598700;9067.35565730939;
20210102;160000;1609599600;8987.17396883192;
20210102;161500;1609600500;9004.89823174624;
20210102;163000;1609601400;9022.62249466056;
20210102;164500;1609602300;9040.34675757487;
20210102;170000;1609603200;9058.07102048919;
20210102;171500;1609604100;9092.27263380493;
20210102;173000;1609605000;9126.47424712068;
20210102;174500;1609605900;9160.67586043642;
20210102;180000;1609606800;9194.87747375217;
20210102;181500;1609607700;9152.44855003286;
20210102;183000;1609608600;9110.01962631356;
20210102;184500;1609609500;9067.59070259426;
20210102;190000;1609610400;9025.16177887495;
20210102;191500;1609611300;8939.40285475146;
20210102;193000;1609612200;8853.64393062797;
20210102;194500;1609613100;8767.88500650448;
20210102;200000;1609614000;8682.12608238099;
20210102;201500;1609614900;8657.30512249263;
20210102;203000;1609615800;8632.48416260427;
20210102;204500;1609616700;8607.6632027159;
20210102;210000;1609617600;8582.84224282754;
20210102;211500;1609618500;8658.6917533772;
20210102;213000;1609619400;8734.54126392686;
20210102;214500;1609620300;8810.39077447652;
20210102;220000;1609621200;8886.24028502618;
20210102;221500;1609622100;6664.68021376964;
20210102;223000;1609623000;4443.12014251309;
20210102;224500;1609623900;2221.56007125654;
20210102;230000;1609624800;0;
20210102;231500;1609625700;40.0498505927018;
20210102;233000;1609626600;80.0997011854036;
20210102;234500;1609627500;120.149551778105;
20210103;0;1609628400;160.199402370807;
20210103;1500;1609629300;715.611994059135;
20210103;3000;1609630200;1271.02458574746;
20210103;4500;1609631100;1826.43717743579;
20210103;10000;1609632000;2381.84976912412;
20210103;11500;1609632900;2731.31112690153;
20210103;13000;1609633800;3080.77248467895;
20210103;14500;1609634700;3430.23384245637;
20210103;20000;1609635600;3779.69520023378;
20210103;21500;1609636500;4038.01670841145;
20210103;23000;1609637400;4296.33821658911;
20210103;24500;1609638300;4554.65972476678;
20210103;30000;1609639200;4812.98123294445;
20210103;31500;1609640100;4978.67509877857;
20210103;33000;1609641000;5144.3689646127;
20210103;34500;1609641900;5310.06283044683;
20210103;40000;1609642800;5475.75669628096;
