#General information: Fraunhofer ISE  reserves the right not to be responsible for the topicality, correctness, completeness or quality of the information provided. Liability claims regarding damage caused by the use of any information provided, including any kind of information which is incomplete or incorrect,will therefore be rejected.;;;;
#file_info: --- Simulated load profile with synPRO --- number of occupants: 2 --- socioeconomic factor: MFHkl --- climate region: TRY2010_6_Jahr.dat --- total energy demand: 102.153295877925 ---  Building TypeMFH_6 ---  --- For more information contact our synPRO team oc-synpro@ise.fraunhofer.de;;;;
#timestep_sec: 900;;;;
#col_no;col_name;unit;category;comment
#001;YYYYMMDD;0;time;Date [human readable]
#002;hhmmss;0;time;Time [human readable]
#003;unixtimestamp;s;time;Elapsed seconds from 01-01-1970
#004;Q_htg;W;power;heating demand for space heating
#005;t_room;°C;temperature;room temperature
#006;t_amb;°C;temperature;ambient temperature
#007;heating_on;-;-;value, which provides under-use of the heating temperature limit and the average outdoor temperature, the starting and shutdown signal for the heating system
#008;P_pvn;W/Wp;specific power;specific power of an PV-plant, which has an optimal slope and oriented to south
#simulated building;MFH_6;;;
#set point temperature heating day [°C];21;;;
#set point temperature heating night [°C];17;;;
#set point temperature cooling [°C];26;;;
#orientation of the building [°];0;;;
#climate region;TRY2010_6_Jahr.dat;;;
#number of houses;1;;;
#number of apartments;4;;;
#number of occupants;9;;;
#working pattern;MFHkl;;;
#specific heating load;33;kWh/m²;;
YYYYMMDD;hhmmss;unixtimestamp;Q_htg;
20210101;0;1609455600;2515.7136544618;
20210101;1500;1609456500;2675.50487950354;
20210101;3000;1609457400;2835.29610454529;
20210101;4500;1609458300;2995.08732958704;
20210101;10000;1609459200;3154.87855462878;
20210101;11500;1609460100;3251.38154241888;
20210101;13000;1609461000;3347.88453020899;
20210101;14500;1609461900;3444.38751799909;
20210101;20000;1609462800;3540.89050578919;
20210101;21500;1609463700;3597.61105777481;
20210101;23000;1609464600;3654.33160976042;
20210101;24500;1609465500;3711.05216174603;
20210101;30000;1609466400;3767.77271373164;
20210101;31500;1609467300;3807.29781180715;
20210101;33000;1609468200;3846.82290988267;
20210101;34500;1609469100;3886.34800795818;
20210101;40000;1609470000;3925.87310603369;
20210101;41500;1609470900;3942.39865986861;
20210101;43000;1609471800;3958.92421370352;
20210101;44500;1609472700;3975.44976753844;
20210101;50000;1609473600;3991.97532137336;
20210101;51500;1609474500;4022.416840609;
20210101;53000;1609475400;4052.85835984464;
20210101;54500;1609476300;4083.29987908029;
20210101;60000;1609477200;4113.74139831593;
20210101;61500;1609478100;7044.1505613183;
20210101;63000;1609479000;9974.55972432068;
20210101;64500;1609479900;12904.9688873231;
20210101;70000;1609480800;15835.3780503254;
20210101;71500;1609481700;14992.1396197273;
20210101;73000;1609482600;14148.9011891292;
20210101;74500;1609483500;13305.662758531;
20210101;80000;1609484400;12462.4243279329;
20210101;81500;1609485300;11857.8272378918;
