#General information: Fraunhofer ISE  reserves the right not to be responsible for the topicality, correctness, completeness or quality of the information provided. Liability claims regarding damage caused by the use of any information provided, including any kind of information which is incomplete or incorrect,will therefore be rejected.;;;;
#file_info: --- Simulated load profile with synPRO --- number of occupants: 4 --- socioeconomic factor: FAM --- climate region: TRY2010_6_Jahr.dat --- total energy demand: 46.2312261199869 ---  Building TypeSFH_6 ---  --- For more information contact our synPRO team oc-synpro@ise.fraunhofer.de;;;;
#timestep_sec: 900;;;;
#col_no;col_name;unit;category;comment
#001;YYYYMMDD;0;time;Date [human readable]
#002;hhmmss;0;time;Time [human readable]
#003;unixtimestamp;s;time;Elapsed seconds from 01-01-1970
#004;Q_htg;W;power;heating demand for space heating
#simulated building;SFH_6;;;
#set point temperature heating day [°C];21;;;
#set point temperature heating night [°C];17;;;
#set point temperature cooling [°C];26;;;
#orientation of the building [°];0;;;
#climate region;TRY2010_6_Jahr.dat;;;
#number of houses;1;;;
#number of apartments;1;;;
#number of occupants;4;;;
#working pattern;FAM;;;
#specific heating load;21;kWh/m²;;
YYYYMMDD;hhmmss;unixtimestamp;Q_htg;
20210101;0;1609455600;190.243179043617;
20210101;1500;1609456500;296.4744235589;
20210101;3000;1609457400;402.705668074182;
20210101;4500;1609458300;508.936912589465;
20210101;10000;1609459200;615.168157104748;
20210101;11500;1609460100;683.009111957345;
20210101;13000;1609461000;750.850066809943;
20210101;14500;1609461900;818.691021662541;
20210101;20000;1609462800;886.531976515139;
20210101;21500;1609463700;935.643420958042;
20210101;23000;1609464600;984.754865400945;
20210101;24500;1609465500;1033.86630984385;
20210101;30000;1609466400;1082.97775428675;
20210101;31500;1609467300;1115.81088804556;
20210101;33000;1609468200;1148.64402180437;
20210101;34500;1609469100;1181.47715556318;
20210101;40000;1609470000;1214.31028932199;
20210101;41500;1609470900;1230.68912513532;
20210101;43000;1609471800;1247.06796094866;
20210101;44500;1609472700;1263.446796762;
20210101;50000;1609473600;1279.82563257533;
20210101;51500;1609474500;1302.87920653378;
20210101;53000;1609475400;1325.93278049222;
20210101;54500;1609476300;1348.98635445067;
20210101;60000;1609477200;1372.03992840912;
20210101;61500;1609478100;2611.97463654154;
20210101;63000;1609479000;3851.90934467396;
20210101;64500;1609479900;5091.84405280639;
20210101;70000;1609480800;6331.77876093881;
20210101;71500;1609481700;5959.75928218393;
20210101;73000;1609482600;5587.73980342905;
20210101;74500;1609483500;5215.72032467416;
20210101;80000;1609484400;4843.70084591928;
20210101;81500;1609485300;4552.47692873384;
20210101;83000;1609486200;4261.2530115484;
20210101;84500;1609487100;3970.02909436296;
20210101;90000;1609488000;3678.80517717752;
20210101;91500;1609488900;3505.64750188871;
20210101;93000;1609489800;3332.4898265999;
20210101;94500;1609490700;3159.33215131109;
20210101;100000;1609491600;2986.17447602227;
20210101;101500;1609492500;2861.48007365007;
20210101;103000;1609493400;2736.78567127786;
20210101;104500;1609494300;2612.09126890566;
20210101;110000;1609495200;2487.39686653345;
20210101;111500;1609496100;2410.59808621729;
20210101;113000;1609497000;2333.79930590113;
20210101;114500;1609497900;2257.00052558497;
20210101;120000;1609498800;2180.20174526881;
20210101;121500;1609499700;1987.55482147271;
20210101;123000;1609500600;1794.9078976766;
20210101;124500;1609501500;1602.2609738805;
20210101;130000;1609502400;1409.61405008439;
20210101;131500;1609503300;1457.75274028371;
20210101;133000;1609504200;1505.89143048302;
20210101;134500;1609505100;1554.03012068233;
20210101;140000;1609506000;1602.16881088165;
20210101;141500;1609506900;1553.59720014057;
20210101;143000;1609507800;1505.02558939949;
20210101;144500;1609508700;1456.45397865842;
20210101;150000;1609509600;1407.88236791734;
20210101;151500;1609510500;1436.14308384084;
20210101;153000;1609511400;1464.40379976433;
20210101;154500;1609512300;1492.66451568783;
20210101;160000;1609513200;1520.92523161132;
