building_year,t_amb [°C],t_vl [°C]
before 1948,-100.,90
before 1948,-5.,90
before 1948,5.,70
before 1948,60.,70
1949-1968,-100.,90
1949-1968,-7.5,90
1949-1968,2.5,70
1949-1968,60,70
1969-1978,-100.,90
1969-1978,-10.,90
1969-1978,0.,70
1969-1978,60,70
1979-1983 (1. WSchV),-100.,90
1979-1983 (1. WSchV),-12.5,90
1979-1983 (1. WSchV),-2.5,70
1979-1983 (1. WSchV),60,70
1984-1994 (2. WSchV),-100.,90
1984-1994 (2. WSchV),-15.,90
1984-1994 (2. WSchV),-5.,70
1984-1994 (2. WSchV),60,70
1995-2010,-100.,60
1995-2010,-0.05,60
1995-2010,0.,55
1995-2010,60,55
after 2010,-100.,60
after 2010,-0.05,60
after 2010,0.,55
after 2010,60,55
KfW 70,-100.,60
KfW 70,-0.05,60
KfW 70,0.,55
KfW 70,60,55
KfW 55,-100.,60
KfW 55,-0.05,60
KfW 55,0.,55
KfW 55,60,55
KfW 40,-100.,60
KfW 40,-0.05,60
KfW 40,0.,55
KfW 40,60,55
GEG 20,-100.,60
GEG 20,-0.05,60
GEG 20,0.,55
GEG 20,60,55
