Koordinatensystem : Lambert konform konisch
Rechtswert        : 3936500 Meter
Hochwert          : 2463500 Meter
Hoehenlage        : 324 Meter ueber NN
Erstellung des Datensatzes im Mai 2016

Art des TRY       : extremer Winter
Bezugszeitraum    : 2031-2060
Datenbasis 1      : Beobachtungsdaten Zeitraum 1995-2012
Datenbasis 2      : Klimasimulationen Zeitraum 1971-2000 (Basis RCP-historical / CORDEX-Europa Laeufe)
Datenbasis 3      : Klimasimulationen Zeitraum 2031-2060 (Basis RCP-4.5 und RCP-8.5 / CORDEX-Europa Laeufe)

Format: (i7,1x,i7,1x,i2,1x,i2,1x,i2,1x,f5.1,1x,i4,1x,3i,1x,f4.1,1x,i1,1x,f4.1,1x,i3,1x,i4,1x,i4,1x,i3,1x,i4,2x,i1)

Reihenfolge der Parameter:
RW Rechtswert                                                    [m]       {3670500;3671500..4389500}
HW Hochwert                                                      [m]       {2242500;2243500..3179500}
MM Monat                                                                   {1..12}
DD Tag                                                                     {1..28,30,31}
HH Stunde (MEZ)                                                            {1..24}
t  Lufttemperatur in 2m Hoehe ueber Grund                        [GradC]
p  Luftdruck in Standorthoehe                                    [hPa]
WR Windrichtung in 10 m Hoehe ueber Grund                        [Grad]    {0..360;999}
WG Windgeschwindigkeit in 10 m Hoehe ueber Grund                 [m/s]
N  Bedeckungsgrad                                                [Achtel]  {0..8;9}
x  Wasserdampfgehalt, Mischungsverhaeltnis                       [g/kg]
RF Relative Feuchte in 2 m Hoehe ueber Grund                     [Prozent] {1..100}
B  Direkte Sonnenbestrahlungsstaerke (horiz. Ebene)              [W/m^2]   abwaerts gerichtet: positiv
D  Diffuse Sonnenbetrahlungsstaerke (horiz. Ebene)               [W/m^2]   abwaerts gerichtet: positiv
A  Bestrahlungsstaerke d. atm. Waermestrahlung (horiz. Ebene)    [W/m^2]   abwaerts gerichtet: positiv
E  Bestrahlungsstaerke d. terr. Waermestrahlung                  [W/m^2]   aufwaerts gerichtet: negativ
IL Qualitaetsbit bezueglich der Auswahlkriterien                           {0;1;2;3;4}


     RW      HW MM DD HH     t    p  WR   WG N    x  RF    B    D   A    E IL
*** 
3936500 2463500  1  1  1  -3.5  996 177  2.4 4  2.5  82    0    0 211 -273  2
3936500 2463500  1  1  2  -4.7  996 206  2.4 2  2.3  85    0    0 204 -269  2
3936500 2463500  1  1  3  -5.7  996 218  2.4 2  2.2  87    0    0 191 -264  2
3936500 2463500  1  1  4  -6.1  997 195  2.3 1  2.1  87    0    0 190 -258  2
3936500 2463500  1  1  5  -6.4  997 184  2.2 2  2.1  87    0    0 187 -251  2
3936500 2463500  1  1  6  -6.8  997 172  2.4 3  2.0  86    0    0 188 -250  2
3936500 2463500  1  1  7  -6.7  997 202  2.4 3  2.0  86    0    0 195 -254  2
3936500 2463500  1  1  8  -6.6  997 144  2.0 7  2.0  87    0    0 205 -254  2
3936500 2463500  1  1  9  -6.1  998 171  2.6 7  2.1  86    3    9 215 -254  2
3936500 2463500  1  1 10  -5.7  999 164  3.1 6  2.1  83   22   50 213 -255  2
3936500 2463500  1  1 11  -5.0  999 187  3.0 6  2.1  82   12   88 212 -258  2
3936500 2463500  1  1 12  -3.9  999 172  2.7 6  2.2  81   15  117 217 -261  2
3936500 2463500  1  1 13  -3.3  999 156  2.7 5  2.3  79   61  128 218 -265  2
3936500 2463500  1  1 14  -1.4 1000 156  2.4 4  2.5  76  133   87 218 -267  2
3936500 2463500  1  1 15  -0.4  999 134  1.8 2  2.5  70  145   45 212 -267  2
3936500 2463500  1  1 16  -0.7 1000 133  1.6 4  2.5  69   73   31 212 -266  2
3936500 2463500  1  1 17  -3.1  999 161  2.3 3  2.5  74    1   10 211 -264  2
3936500 2463500  1  1 18  -4.0  998 161  2.4 2  2.4  80    0    0 201 -262  2
3936500 2463500  1  1 19  -4.5  998 173  2.8 1  2.3  83    0    0 194 -259  2
3936500 2463500  1  1 20  -4.2  998 187  2.2 1  2.3  82    0    0 190 -258  2
3936500 2463500  1  1 21  -5.0  998 181  2.4 2  2.3  83    0    0 193 -257  2
3936500 2463500  1  1 22  -5.8  998 172  2.2 2  2.2  86    0    0 194 -256  2
3936500 2463500  1  1 23  -6.4  998 160  2.4 2  2.2  89    0    0 192 -255  2
3936500 2463500  1  1 24  -6.6  998 163  2.5 5  2.1  91    0    0 198 -254  2
3936500 2463500  1  2  1  -7.2  997 170  2.8 4  2.1  91    0    0 201 -253  2
3936500 2463500  1  2  2  -7.4  997 154  2.7 3  2.0  90    0    0 195 -253  2
3936500 2463500  1  2  3  -7.9  997 149  3.0 0  1.9  87    0    0 188 -253  2
3936500 2463500  1  2  4  -8.8  997 157  2.5 0  1.8  86    0    0 181 -252  2
3936500 2463500  1  2  5 -10.9  996 163  2.8 0  1.5  83    0    0 176 -252  2
3936500 2463500  1  2  6  -8.6  996 162  3.0 1  1.5  82    0    0 177 -252  2
3936500 2463500  1  2  7  -9.7  997 168  2.8 0  1.7  86    0    0 178 -253  2
3936500 2463500  1  2  8  -9.6  996 176  2.8 1  1.6  87    0    0 176 -253  2
3936500 2463500  1  2  9  -9.3  996 205  3.1 1  1.6  85    5   10 182 -254  2
3936500 2463500  1  2 10  -7.8  997 176  2.6 2  1.7  83   63   37 188 -256  2
3936500 2463500  1  2 11  -5.7  997 183  2.0 3  1.8  78  144   51 202 -260  2
3936500 2463500  1  2 12  -4.7  997 175  1.8 2  2.0  77  170   76 206 -264  2
3936500 2463500  1  2 13  -2.0  996 124  1.5 0  2.1  70  246   50 196 -267  2
3936500 2463500  1  2 14  -0.4  996 142  1.6 0  2.1  61  228   46 191 -269  2
3936500 2463500  1  2 15  -1.0  995 156  1.8 0  2.2  59  179   36 193 -268  2
3936500 2463500  1  2 16  -1.4  994 163  1.7 2  2.1  59   75   35 203 -265  2
3936500 2463500  1  2 17  -3.7  994 113  1.4 0  2.0  64    1   11 200 -261  2
3936500 2463500  1  2 18  -4.5  994  66  1.9 0  2.0  71    0    0 188 -259  2
3936500 2463500  1  2 19  -4.3  994 228  2.4 1  2.0  74    0    0 193 -261  2
3936500 2463500  1  2 20  -4.1  994 149  1.9 4  2.1  76    0    0 213 -263  2
3936500 2463500  1  2 21  -3.5  995 168  2.6 8  2.3  78    0    0 246 -264  2
3936500 2463500  1  2 22  -3.2  995 119  2.4 7  2.4  80    0    0 258 -265  2
3936500 2463500  1  2 23  -3.1  994  60  2.1 7  2.5  81    0    0 252 -266  2
3936500 2463500  1  2 24  -3.4  994  82  2.3 8  2.5  82    0    0 253 -267  2
3936500 2463500  1  3  1  -3.2  994  68  2.5 7  2.5  83    0    0 250 -268  2
3936500 2463500  1  3  2  -3.4  994 112  3.6 7  2.5  84    0    0 240 -269  2
3936500 2463500  1  3  3  -4.4  994  76  4.5 5  2.5  87    0    0 227 -271  2
3936500 2463500  1  3  4  -4.9  993 126  4.3 3  2.4  89    0    0 209 -272  2
3936500 2463500  1  3  5  -4.6  994 128  4.8 4  2.5  91    0    0 205 -272  2
3936500 2463500  1  3  6  -3.7  994 120  5.9 7  2.5  90    0    0 211 -271  2
3936500 2463500  1  3  7  -4.5  994 125  4.5 7  2.5  87    0    0 212 -271  2
3936500 2463500  1  3  8  -5.4  993 109  5.0 4  2.3  86    0    0 204 -270  2
3936500 2463500  1  3  9  -5.7  994 108  5.6 3  2.2  86    5   10 197 -269  2
3936500 2463500  1  3 10  -5.1  994 101  5.6 3  2.2  84   96   19 195 -269  2
3936500 2463500  1  3 11  -3.9  994 114  6.3 1  2.1  77  185   37 194 -270  2
